,SKILLID,PREFERREDLABEL,SKILLGROUPLABEL,SKILLGROUPID
10598,687671bdebd2bf665349cf99,educate the public about wildlife,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
10599,687671bdebd2bf665349cf9a,operate fibreglass spray gun,operating painting or coating machinery,687671b3ebd2bf665349a4fd
10600,687671bdebd2bf665349cf9b,pre-grind nibs of cocoa,"operating cutting, grinding and smoothing machinery",687671b3ebd2bf665349a599
10601,687671bdebd2bf665349cf9c,plan the web forming techniques for non-woven,directing operational activities,687671b3ebd2bf665349a56b
10602,687671bdebd2bf665349cf9d,perform hydrodynamics calculations,performing calculations,687671b3ebd2bf665349a622
10603,687671bdebd2bf665349cf9e,psychopathology,medicine,687671b3ebd2bf665349a45d
10604,687671bdebd2bf665349cf9f,maintain inventory of rented items,maintaining operational records,687671b3ebd2bf665349a498
10605,687671bdebd2bf665349cfa0,lighting techniques,audio-visual techniques and media production,687671b2ebd2bf665349a3ca
10606,687671bdebd2bf665349cfa1,MATLAB,software and applications development and analysis,687671b3ebd2bf665349a426
10607,687671bdebd2bf665349cfa2,assess quality characteristics of food products,,
10608,687671bdebd2bf665349cfa3,maintain props,creating visual displays and decorations,687671b3ebd2bf665349a594
10609,687671bdebd2bf665349cfa4,license photo usage,"preparing documentation for contracts, applications, or permits",687671b3ebd2bf665349a4bf
10610,687671bdebd2bf665349cfa5,apply adhesive wall coating,applying protective or decorative solutions or coatings,687671b3ebd2bf665349a52a
10611,687671bdebd2bf665349cfa6,carry out humane harvesting practices,"hunting, trapping and slaughtering animals",687671b3ebd2bf665349a4f5
10612,687671bdebd2bf665349cfa7,urban pollution implications,environmental protection technology,687671b3ebd2bf665349a430
10613,687671bdebd2bf665349cfa8,write scientific publications,technical or academic writing,687671b3ebd2bf665349a53d
10614,687671bdebd2bf665349cfa9,use declaiming techniques,performing artistic or cultural activities,687671b3ebd2bf665349a4f2
10615,687671bdebd2bf665349cfaa,create wood joints,assembling and fabricating products,687671b3ebd2bf665349a562
10616,687671bdebd2bf665349cfab,electromagnets,electronics and automation,687671b3ebd2bf665349a432
10617,687671bdebd2bf665349cfac,coat food products,fabricating food and related products,687671b3ebd2bf665349a61b
10618,687671bdebd2bf665349cfad,teach circus acts,training on operational procedures,687671b3ebd2bf665349a539
10619,687671bdebd2bf665349cfae,install electric switches,"installing and repairing electrical, electronic and precision equipment",687671b3ebd2bf665349a598
10620,687671bdebd2bf665349cfaf,operate lifting equipment,operating lifting or moving equipment,687671b3ebd2bf665349a595
10621,687671bdebd2bf665349cfb0,negotiate with social service stakeholders,advocating for individual or community needs,687671b3ebd2bf665349a49f
10622,687671bdebd2bf665349cfb1,deliver visual presentation of data,presenting research or technical information,687671b3ebd2bf665349a57d
10623,687671bdebd2bf665349cfb2,create set models,making models,687671b3ebd2bf665349a547
10624,687671bdebd2bf665349cfb3,weld underwater,"joining parts using soldering, welding or brazing techniques",687671b3ebd2bf665349a4cd
10625,687671bdebd2bf665349cfb4,consult with stakeholders on implementation of a production,collaborating and liaising,687671b3ebd2bf665349a5a3
10626,687671bdebd2bf665349cfb5,create working methodology,developing operational policies and procedures,687671b3ebd2bf665349a5c6
10627,687671bdebd2bf665349cfb6,use chemical analysis equipment,operating scientific and laboratory equipment,687671b3ebd2bf665349a553
10628,687671bdebd2bf665349cfb7,psychoacoustics,psychology,687671b2ebd2bf665349a3e7
10629,687671bdebd2bf665349cfb8,international import export regulations,law,687671b2ebd2bf665349a401
10630,687671bdebd2bf665349cfb9,rig 3D characters,using computer aided design and drawing tools,687671b3ebd2bf665349a5a6
10631,687671bdebd2bf665349cfba,applied kinesiology,traditional and complementary medicine and therapy,687671b3ebd2bf665349a462
10632,687671bdebd2bf665349cfbb,demonstrate awareness of health risks,applying health-related skills and competences,687671b3ebd2bf665349a4f8
10633,687671bdebd2bf665349cfbc,perform damascening,creating artistic designs or performances,687671b3ebd2bf665349a59f
10634,687671bdebd2bf665349cfbd,define geographic sales areas,"developing financial, business or marketing plans",687671b3ebd2bf665349a4ed
10635,687671bdebd2bf665349cfbe,organisational structure,work skills,687671b2ebd2bf665349a3fe
10636,687671bdebd2bf665349cfbf,add scent,preparing mixtures or solutions,687671b3ebd2bf665349a5bf
10637,687671bdebd2bf665349cfc0,safely detonate explosives,complying with health and safety procedures,687671b3ebd2bf665349a525
10638,687671bdebd2bf665349cfc1,use food cutting tools,cutting materials and drilling holes,687671b3ebd2bf665349a543
10639,687671bdebd2bf665349cfc2,check vehicles for sale,testing vehicles,687671b3ebd2bf665349a508
10640,687671bdebd2bf665349cfc3,identify skills gaps,monitoring and evaluating the performance of individuals,687671b3ebd2bf665349a5c4
10641,687671bdebd2bf665349cfc4,parts of metal rolling mill,mechanics and metal trades,687671b3ebd2bf665349a433
10642,687671bdebd2bf665349cfc5,write batch record documentation,maintaining operational records,687671b3ebd2bf665349a498
10643,687671bdebd2bf665349cfc6,prosthetic-orthotic examination,medical diagnostic and treatment technology,687671b3ebd2bf665349a45f
10644,687671bdebd2bf665349cfc7,understand spoken Berber,,
10645,687671bdebd2bf665349cfc8,investigate customer complaints of food products,,
10646,687671bdebd2bf665349cfc9,interact verbally in Dutch,,
10647,687671bdebd2bf665349cfca,monitor temperature in farinaceous processes,operating food processing machinery,687671b3ebd2bf665349a5dd
10648,687671bdebd2bf665349cfcb,organise retail sampling events,planning events and programmes,687671b3ebd2bf665349a5de
10649,687671bdebd2bf665349cfcc,provide safeguarding to individuals,providing psychological and occupational therapies,687671b3ebd2bf665349a50d
10650,687671bdebd2bf665349cfcd,operate a ceramics kiln,"operating kilns, furnaces and drying equipment",687671b3ebd2bf665349a5bc
10651,687671bdebd2bf665349cfce,ICT architectural frameworks,software and applications development and analysis,687671b3ebd2bf665349a426
10652,687671bdebd2bf665349cfcf,present exhibition,presenting general information,687671b3ebd2bf665349a5db
10653,687671bdebd2bf665349cfd0,lacquer paint applications,building and civil engineering,687671b3ebd2bf665349a440
10654,687671bdebd2bf665349cfd1,select music,performing artistic or cultural activities,687671b3ebd2bf665349a4f2
10655,687671bdebd2bf665349cfd2,clean painting equipment,"cleaning tools, equipment, workpieces and vehicles",687671b3ebd2bf665349a551
10656,687671bdebd2bf665349cfd3,determine skin type,styling hair and providing beauty treatments,687671b3ebd2bf665349a52b
10657,687671bdebd2bf665349cfd4,synthetic resins,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
10658,687671bdebd2bf665349cfd5,desktop publishing,computer use,687671b2ebd2bf665349a424
10659,687671bdebd2bf665349cfd6,CAD for footwear,"textiles (clothes, footwear and leather)",687671b3ebd2bf665349a43a
10660,687671bdebd2bf665349cfd7,consult with design team,collaborating and liaising,687671b3ebd2bf665349a5a3
10661,687671bdebd2bf665349cfd8,set up stage lights,creating visual displays and decorations,687671b3ebd2bf665349a594
10662,687671bdebd2bf665349cfd9,build props,creating artistic designs or performances,687671b3ebd2bf665349a59f
10663,687671bdebd2bf665349cfda,operate games,conducting gaming activities,687671b3ebd2bf665349a507
10664,687671bdebd2bf665349cfdb,verify engraving accuracy,"conducting studies, investigations and examinations",687671b3ebd2bf665349a57e
10665,687671bdebd2bf665349cfdc,tend computer numerical control lathe machine,using digital tools to control machinery,687671b3ebd2bf665349a50c
10666,687671bdebd2bf665349cfdd,prepare subgrade for road pavement,constructing,687671b3ebd2bf665349a524
10667,687671bdebd2bf665349cfde,industrial heating systems,electricity and energy,687671b3ebd2bf665349a431
10668,687671bdebd2bf665349cfdf,transport horses,moving and herding animals,687671b3ebd2bf665349a618
10669,687671bdebd2bf665349cfe0,prevent paper jams,performing general clerical and administrative tasks,687671b3ebd2bf665349a57f
10670,687671bdebd2bf665349cfe1,agroecology,crop and livestock production,687671b3ebd2bf665349a44a
10671,687671bdebd2bf665349cfe2,implement front-end website design,setting up computer systems,687671b3ebd2bf665349a627
10672,687671bdebd2bf665349cfe3,types of chain,handicrafts,687671b2ebd2bf665349a3cd
10673,687671bdebd2bf665349cfe4,trade securities,"promoting, selling and purchasing",687671b3ebd2bf665349a62a
10674,687671bdebd2bf665349cfe5,application usability,software and applications development and analysis,687671b3ebd2bf665349a426
10675,687671bdebd2bf665349cfe6,protect the environment from the impact of the digital technologies,complying with environmental protection laws and standards,687671b3ebd2bf665349a55a
10676,687671bdebd2bf665349cfe7,port regulation,transport services,687671b3ebd2bf665349a484
10677,687671bdebd2bf665349cfe8,stop speeding vehicles,giving instructions,687671b3ebd2bf665349a589
10678,687671bdebd2bf665349cfe9,teach electricity principles,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
10679,687671bdebd2bf665349cfea,types of spring,mechanics and metal trades,687671b3ebd2bf665349a433
10680,687671bdebd2bf665349cfeb,operate wine pumps,operating pumping systems or equipment,687671b3ebd2bf665349a54e
10681,687671bdebd2bf665349cfec,develop energy policy,developing policies and legislation,687671b3ebd2bf665349a57c
10682,687671bdebd2bf665349cfed,maneuver stone blocks,"moving or lifting materials, equipment, or supplies",687671b3ebd2bf665349a60d
10683,687671bdebd2bf665349cfee,apply standard feeding and nutrition protocols,feeding and grooming animals,687671b3ebd2bf665349a4ff
10684,687671bdebd2bf665349cfef,operate gas turbines,operating energy production or distribution equipment,687671b3ebd2bf665349a575
10685,687671bdebd2bf665349cff0,provide information on education financing,providing financial advice,687671b3ebd2bf665349a4e8
10686,687671bdebd2bf665349cff1,execute feasibility study on hydrogen,analysing business operations,687671b3ebd2bf665349a612
10687,687671bdebd2bf665349cff2,analyse shipping rates,analysing financial and economic data,687671b3ebd2bf665349a5ef
10688,687671bdebd2bf665349cff3,repair industrial equipment,repairing and installing mechanical equipment,687671b3ebd2bf665349a4a3
10689,687671bdebd2bf665349cff4,electromagnetic spectrum,physics,687671b2ebd2bf665349a417
10690,687671bdebd2bf665349cff5,consult credit score,analysing financial and economic data,687671b3ebd2bf665349a5ef
10691,687671bdebd2bf665349cff6,inspect fish stock,monitoring health conditions of humans and animals,687671b3ebd2bf665349a5ce
10692,687671bdebd2bf665349cff7,produce violin components,fabricating precision instruments or jewellery,687671b3ebd2bf665349a4d4
10693,687671bdebd2bf665349cff8,watches and jewellery products,handicrafts,687671b2ebd2bf665349a3cd
10694,687671bdebd2bf665349cff9,develop recreation programmes,developing operational policies and procedures,687671b3ebd2bf665349a5c6
10695,687671bdebd2bf665349cffa,results-based management,management and administration,687671b2ebd2bf665349a3fa
10696,687671bdebd2bf665349cffb,operate distillation equipment,"operating petroleum, chemical or water processing systems or equipment",687671b3ebd2bf665349a5e3
10697,687671bdebd2bf665349cffc,alkali stages of refining processes for edible oils,food processing,687671b3ebd2bf665349a438
10698,687671bdebd2bf665349cffd,develop jewellery designs,creating artistic designs or performances,687671b3ebd2bf665349a59f
10699,687671bdebd2bf665349cffe,support discharge from physiotherapy,providing medical advice,687671b3ebd2bf665349a5d0
10700,687671bdebd2bf665349cfff,pathogenic microorganisms in food,food processing,687671b3ebd2bf665349a438
10701,687671bdebd2bf665349d000,encourage counselled clients to examine themselves,,
10702,687671bdebd2bf665349d001,study groundwater,assessing land or real estate,687671b3ebd2bf665349a4fa
10703,687671bdebd2bf665349d002,design electromechanical systems,designing electrical or electronic systems or equipment,687671b3ebd2bf665349a4f4
10704,687671bdebd2bf665349d003,policy analysis,political sciences and civics,687671b2ebd2bf665349a3e6
10705,687671bdebd2bf665349d004,report analysis results,"documenting technical designs, procedures, problems or activities",687671b3ebd2bf665349a584
10706,687671bdebd2bf665349d005,use body modification techniques,styling hair and providing beauty treatments,687671b3ebd2bf665349a52b
10707,687671bdebd2bf665349d006,spot valuable items,determining values of goods or services,687671b3ebd2bf665349a620
10708,687671bdebd2bf665349d007,adjust priorities,planning events and programmes,687671b3ebd2bf665349a5de
10709,687671bdebd2bf665349d008,interact verbally in Telugu,,
10710,687671bdebd2bf665349d009,homeopathy remedies,traditional and complementary medicine and therapy,687671b3ebd2bf665349a462
10711,687671bdebd2bf665349d00a,give live presentation,presenting general information,687671b3ebd2bf665349a5db
10712,687671bdebd2bf665349d00b,lay concrete slabs,installing concrete components,687671b3ebd2bf665349a5f1
10713,687671bdebd2bf665349d00c,ensure contract termination and follow-up,complying with operational procedures,687671b3ebd2bf665349a559
10714,687671bdebd2bf665349d00d,transport fish,moving and herding animals,687671b3ebd2bf665349a618
10715,687671bdebd2bf665349d00e,fossil fuels,electricity and energy,687671b3ebd2bf665349a431
10716,687671bdebd2bf665349d00f,collaborate on international energy projects,advising on environmental issues,687671b3ebd2bf665349a496
10717,687671bdebd2bf665349d010,secure crane,installing and assembling rigging equipment,687671b3ebd2bf665349a57b
10718,687671bdebd2bf665349d011,monitor film development baths,"positioning materials, tools or equipment",687671b3ebd2bf665349a4dd
10719,687671bdebd2bf665349d012,manage claims process,mediating and resolving disputes,687671b3ebd2bf665349a58d
10720,687671bdebd2bf665349d013,organise facilities for office personnel,performing general clerical and administrative tasks,687671b3ebd2bf665349a57f
10721,687671bdebd2bf665349d014,install recycling containers,disposing of non-hazardous waste or debris,687671b3ebd2bf665349a52e
10722,687671bdebd2bf665349d015,amusement park emergency procedures,protection of persons and property,687671b3ebd2bf665349a481
10723,687671bdebd2bf665349d016,position base plates,"positioning materials, tools or equipment",687671b3ebd2bf665349a4dd
10724,687671bdebd2bf665349d017,provide secured transportation,maintaining and enforcing physical security,687671b3ebd2bf665349a60f
10725,687671bdebd2bf665349d018,manage project metrics,monitoring operational activities,687671b3ebd2bf665349a4b4
10726,687671bdebd2bf665349d019,keep records of bid history,maintaining operational records,687671b3ebd2bf665349a498
10727,687671bdebd2bf665349d01a,clean moulds,"cleaning tools, equipment, workpieces and vehicles",687671b3ebd2bf665349a551
10728,687671bdebd2bf665349d01b,palliative care,nursing and midwifery,687671b3ebd2bf665349a45e
10729,687671bdebd2bf665349d01c,"relationship between buildings, people and the environment",architecture and town planning,687671b3ebd2bf665349a43f
10730,687671bdebd2bf665349d01d,arrange in-home services for patients,planning events and programmes,687671b3ebd2bf665349a5de
10731,687671bdebd2bf665349d01e,perform cost accounting activities,managing budgets or finances,687671b3ebd2bf665349a4bc
10732,687671bdebd2bf665349d01f,manage maintenance operations,directing operational activities,687671b3ebd2bf665349a56b
10733,687671bdebd2bf665349d020,perfume raw materials,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
10734,687671bdebd2bf665349d021,liaise with engineers,collaborating and liaising,687671b3ebd2bf665349a5a3
10735,687671bdebd2bf665349d022,textile trends,"textiles (clothes, footwear and leather)",687671b3ebd2bf665349a43a
10736,687671bdebd2bf665349d023,Serbian,languages,687671b3ebd2bf665349a501
10737,687671bdebd2bf665349d024,analyse customer service surveys,analysing business operations,687671b3ebd2bf665349a612
10738,687671bdebd2bf665349d025,quality standards applicable to aquaculture products,fisheries,687671b3ebd2bf665349a450
10739,687671bdebd2bf665349d026,unstructured data,database and network design and administration,687671b3ebd2bf665349a425
10740,687671bdebd2bf665349d027,CA Datacom/DB,database and network design and administration,687671b3ebd2bf665349a425
10741,687671bdebd2bf665349d028,sell office equipment,selling products or services,687671b3ebd2bf665349a5fc
10742,687671bdebd2bf665349d029,write Belarusian,,
10743,687671bdebd2bf665349d02a,record production data,maintaining operational records,687671b3ebd2bf665349a498
10744,687671bdebd2bf665349d02b,grow plants,cultivating land and crops,687671b3ebd2bf665349a5ad
10745,687671bdebd2bf665349d02c,livestock species,biology,687671b2ebd2bf665349a40b
10746,687671bdebd2bf665349d02d,create insurance policies,technical or academic writing,687671b3ebd2bf665349a53d
10747,687671bdebd2bf665349d02e,maintain footwear assembling equipment,installing wooden and metal components,687671b3ebd2bf665349a53b
10748,687671bdebd2bf665349d02f,carry out meteorological research,conducting academic or market research,687671b3ebd2bf665349a557
10749,687671bdebd2bf665349d030,develop public relations strategies,"developing financial, business or marketing plans",687671b3ebd2bf665349a4ed
10750,687671bdebd2bf665349d031,Order products,,
10751,687671bdebd2bf665349d032,maintain bar cleanliness,cleaning interior and exterior of buildings,687671b3ebd2bf665349a5e8
10752,687671bdebd2bf665349d033,produce different surface finishes,installing floor and wall coverings,687671b3ebd2bf665349a56f
10753,687671bdebd2bf665349d034,contribute to the choreographer's process of reflection,creating artistic designs or performances,687671b3ebd2bf665349a59f
10754,687671bdebd2bf665349d035,think creatively,thinking creatively and innovatively,687671b3ebd2bf665349a60c
10755,687671bdebd2bf665349d036,promote mental health,developing health programmes,687671b3ebd2bf665349a5f4
10756,687671bdebd2bf665349d037,use safety equipment in construction,complying with health and safety procedures,687671b3ebd2bf665349a525
10757,687671bdebd2bf665349d038,conduct research before survey,conducting academic or market research,687671b3ebd2bf665349a557
10758,687671bdebd2bf665349d039,furniture industry,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
10759,687671bdebd2bf665349d03a,airport safety regulations,transport services,687671b3ebd2bf665349a484
10760,687671bdebd2bf665349d03b,develop working procedures,developing operational policies and procedures,687671b3ebd2bf665349a5c6
10761,687671bdebd2bf665349d03c,estimate damage,estimating resource needs,687671b3ebd2bf665349a5b5
10762,687671bdebd2bf665349d03d,report on social development,technical or academic writing,687671b3ebd2bf665349a53d
10763,687671bdebd2bf665349d03e,interact with healthcare users,providing medical advice,687671b3ebd2bf665349a5d0
10764,687671bdebd2bf665349d03f,biogas energy production,electricity and energy,687671b3ebd2bf665349a431
10765,687671bdebd2bf665349d040,develop strong attitudes in sports,leading and motivating,687671b3ebd2bf665349a5ae
10766,687671bdebd2bf665349d041,compare insurance products,analysing financial and economic data,687671b3ebd2bf665349a5ef
10767,687671bdebd2bf665349d042,develop procedures in case of defects,developing operational policies and procedures,687671b3ebd2bf665349a5c6
10768,687671bdebd2bf665349d043,wash the dishes,"cleaning tools, equipment, workpieces and vehicles",687671b3ebd2bf665349a551
10769,687671bdebd2bf665349d044,manage time in forestry,planning events and programmes,687671b3ebd2bf665349a5de
10770,687671bdebd2bf665349d045,work in professional sport environment,working in teams,687671b3ebd2bf665349a603
10771,687671bdebd2bf665349d046,manage sporting career,practising sports,687671b3ebd2bf665349a61e
10772,687671bdebd2bf665349d047,breed cattle,tending and breeding animals,687671b3ebd2bf665349a614
10773,687671bdebd2bf665349d048,support witnesses,,
10774,687671bdebd2bf665349d049,conduct chiropractic examination,diagnosing health conditions,687671b3ebd2bf665349a5ed
10775,687671bdebd2bf665349d04a,operate slitting machinery,"operating cutting, grinding and smoothing machinery",687671b3ebd2bf665349a599
10776,687671bdebd2bf665349d04b,establish communication with foreign cultures,working with others,687671b3ebd2bf665349a581
10777,687671bdebd2bf665349d04c,footwear manufacturing technology,"textiles (clothes, footwear and leather)",687671b3ebd2bf665349a43a
10778,687671bdebd2bf665349d04d,follow dentists' instructions,following instructions and procedures,687671b3ebd2bf665349a520
10779,687671bdebd2bf665349d04e,promote communication between parties,collaborating and liaising,687671b3ebd2bf665349a5a3
10780,687671bdebd2bf665349d04f,legal department processes,law,687671b2ebd2bf665349a401
10781,687671bdebd2bf665349d050,prepare animals for anaesthesia,providing therapy or veterinary treatment for animals,687671b3ebd2bf665349a542
10782,687671bdebd2bf665349d051,provide technical expertise,advising on design or use of technologies,687671b3ebd2bf665349a610
10783,687671bdebd2bf665349d052,defense system,military and defence,687671b3ebd2bf665349a480
10784,687671bdebd2bf665349d053,distinguish various types of ships,managing information,687671b3ebd2bf665349a4e2
10785,687671bdebd2bf665349d054,compile railway signalling reports,maintaining operational records,687671b3ebd2bf665349a498
10786,687671bdebd2bf665349d055,handle broodstock,tending and breeding aquatic animals,687671b3ebd2bf665349a605
10787,687671bdebd2bf665349d056,understand written Estonian,,
10788,687671bdebd2bf665349d057,communicate in foreign languages with health service providers,using foreign languages,687671b3ebd2bf665349a491
10789,687671bdebd2bf665349d058,coaching techniques,inter-disciplinary programmes and qualifications involving education,687671b2ebd2bf665349a3c4
10790,687671bdebd2bf665349d059,cut raw footage digitally,operating audio-visual equipment,687671b3ebd2bf665349a579
10791,687671bdebd2bf665349d05a,operate radar equipment,operating communications equipment,687671b3ebd2bf665349a4a0
10792,687671bdebd2bf665349d05b,ensure adherence to aerodrome procedures,complying with health and safety procedures,687671b3ebd2bf665349a525
10793,687671bdebd2bf665349d05c,work with composers,working in teams,687671b3ebd2bf665349a603
10794,687671bdebd2bf665349d05d,manage timber stocks,allocating and controlling physical resources,687671b3ebd2bf665349a623
10795,687671bdebd2bf665349d05e,teach fire fighting principles,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
10796,687671bdebd2bf665349d05f,flue-cure tobacco,fabricating tobacco products,687671b3ebd2bf665349a4f9
10797,687671bdebd2bf665349d060,supervise craft production,making patterns and templates,687671b3ebd2bf665349a4aa
10798,687671bdebd2bf665349d061,human resources department processes,management and administration,687671b2ebd2bf665349a3fa
10799,687671bdebd2bf665349d062,gather reference materials,gathering information from physical or electronic sources,687671b3ebd2bf665349a4d2
10800,687671bdebd2bf665349d063,audit food safety procedures,"evaluating systems, programmes, equipment and products",687671b3ebd2bf665349a61c
10801,687671bdebd2bf665349d064,read stowage plans,interpreting technical documentation and diagrams,687671b3ebd2bf665349a4df
10802,687671bdebd2bf665349d065,prepare printing form,operating print and photographic production equipment,687671b3ebd2bf665349a5f7
10803,687671bdebd2bf665349d066,teach dance,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
10804,687671bdebd2bf665349d067,teach principles of social work,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
10805,687671bdebd2bf665349d068,attend music recording sessions,composing music,687671b3ebd2bf665349a5df
10806,687671bdebd2bf665349d069,operate explosives production equipment,operating mixing and separating machinery,687671b3ebd2bf665349a577
10807,687671bdebd2bf665349d06a,types of chocolate,food processing,687671b3ebd2bf665349a438
10808,687671bdebd2bf665349d06b,send faulty equipment back to assembly line,sorting materials or products,687671b3ebd2bf665349a50b
10809,687671bdebd2bf665349d06c,use agronomic modelling,calculating and estimating,687671b3ebd2bf665349a509
10810,687671bdebd2bf665349d06d,computerised feeding systems,crop and livestock production,687671b3ebd2bf665349a44a
10811,687671bdebd2bf665349d06e,consult exhibition organisers,collaborating and liaising,687671b3ebd2bf665349a5a3
10812,687671bdebd2bf665349d06f,package fish,packaging objects,687671b3ebd2bf665349a578
10813,687671bdebd2bf665349d070,write Marathi,,
10814,687671bdebd2bf665349d071,plan schedule,planning events and programmes,687671b3ebd2bf665349a5de
10815,687671bdebd2bf665349d072,advise on online dating,advising on products and services,687671b3ebd2bf665349a530
10816,687671bdebd2bf665349d073,advise customers on sewing patterns,advising on products and services,687671b3ebd2bf665349a530
10817,687671bdebd2bf665349d074,Salt (tools for software configuration management),software and applications development and analysis,687671b3ebd2bf665349a426
10818,687671bdebd2bf665349d075,ensure cleanliness of food preparation area,monitoring safety or security,687671b3ebd2bf665349a4a7
10819,687671bdebd2bf665349d076,use furniture dust removing tools,using hand tools,687671b3ebd2bf665349a546
10820,687671bdebd2bf665349d077,apply for government funding,"preparing documentation for contracts, applications, or permits",687671b3ebd2bf665349a4bf
10821,687671bdebd2bf665349d078,oversee operational safety on trains,complying with health and safety procedures,687671b3ebd2bf665349a525
10822,687671bdebd2bf665349d079,maintain customer records,maintaining operational records,687671b3ebd2bf665349a498
10823,687671bdebd2bf665349d07a,administer chemicals for beverage clarification,operating food processing machinery,687671b3ebd2bf665349a5dd
10824,687671bdebd2bf665349d07b,hotel operations,"hotel, restaurants and catering",687671b3ebd2bf665349a475
10825,687671bdebd2bf665349d07c,maintain router machinery,maintaining mechanical machinery,687671b3ebd2bf665349a59c
10826,687671bdebd2bf665349d07d,remove contaminants,cleaning,687671b3ebd2bf665349a4d9
10827,687671bdebd2bf665349d07e,hair,hair and beauty services,687671b3ebd2bf665349a474
10828,687671bdebd2bf665349d07f,measure water depth,measuring dimensions and related properties,687671b3ebd2bf665349a4ca
10829,687671bdebd2bf665349d080,guide placement of anchors,operating watercraft,687671b3ebd2bf665349a4ec
10830,687671bdebd2bf665349d081,hazardous freight regulations,transport services,687671b3ebd2bf665349a484
10831,687671bdebd2bf665349d082,maintain computer hardware,"maintaining electrical, electronic and precision equipment",687671b3ebd2bf665349a611
10832,687671bdebd2bf665349d083,prepare patients for surgery,"providing medical, dental and nursing care",687671b3ebd2bf665349a545
10833,687671bdebd2bf665349d084,adhere to traffic regulations on inland waterways,ensuring compliance with legislation,687671b3ebd2bf665349a4eb
10834,687671bdebd2bf665349d085,process incoming electrical supplies,entering and transforming information,687671b3ebd2bf665349a58c
10835,687671bdebd2bf665349d086,cold winding,chemical engineering and processes,687671b3ebd2bf665349a42f
10836,687671bdebd2bf665349d087,determine production feasibility,analysing business operations,687671b3ebd2bf665349a612
10837,687671bdebd2bf665349d088,organise relapse prevention,"counselling on personal, family or social issues",687671b3ebd2bf665349a5e9
10838,687671bdebd2bf665349d089,use photographic equipment,operating audio-visual equipment,687671b3ebd2bf665349a579
10839,687671bdebd2bf665349d08a,public auction procedures,wholesale and retail sales,687671b2ebd2bf665349a3fd
10840,687671bdebd2bf665349d08b,prepare for small craft operation,operating watercraft,687671b3ebd2bf665349a4ec
10841,687671bdebd2bf665349d08c,polish silverware,smoothing surfaces of objects or equipment,687671b3ebd2bf665349a513
10842,687671bdebd2bf665349d08d,assess fermentation levels of tobacco leaves,fabricating food and related products,687671b3ebd2bf665349a61b
10843,687671bdebd2bf665349d08e,ripening of cheese,food processing,687671b3ebd2bf665349a438
10844,687671bdebd2bf665349d08f,quality assurance methodologies,work skills,687671b2ebd2bf665349a3fe
10845,687671bdebd2bf665349d090,LINQ,software and applications development and analysis,687671b3ebd2bf665349a426
10846,687671bdebd2bf665349d091,collaborate on costume and make-up for performances,accepting feedback,687671b3ebd2bf665349a564
10847,687671bdebd2bf665349d092,manage purchasing cycle,purchasing goods or services,687671b3ebd2bf665349a534
10848,687671bdebd2bf665349d093,lawn care,community sanitation,687671b3ebd2bf665349a47b
10849,687671bdebd2bf665349d094,set payment handling strategies,executing financial transactions,687671b3ebd2bf665349a5c5
10850,687671bdebd2bf665349d095,legal terminology,law,687671b2ebd2bf665349a401
10851,687671bdebd2bf665349d096,ensure stock storage safety,complying with health and safety procedures,687671b3ebd2bf665349a525
10852,687671bdebd2bf665349d097,clean concrete pumps,"cleaning tools, equipment, workpieces and vehicles",687671b3ebd2bf665349a551
10853,687671bdebd2bf665349d098,tend spinning machines,"operating machinery for the manufacture and treatment of textiles, fur and leather products",687671b3ebd2bf665349a590
10854,687671bdebd2bf665349d099,laws regulating serving alcoholic drinks,law,687671b2ebd2bf665349a401
10855,687671bdebd2bf665349d09a,consult team on creative project,collaborating and liaising,687671b3ebd2bf665349a5a3
10856,687671bdebd2bf665349d09b,perform loading and unloading operations,"loading and unloading goods and, materials",687671b3ebd2bf665349a536
10857,687671bdebd2bf665349d09c,cope with excrements,handling animals,687671b3ebd2bf665349a58e
10858,687671bdebd2bf665349d09d,use warp preparation technologies,"operating machinery for the manufacture and treatment of textiles, fur and leather products",687671b3ebd2bf665349a590
10859,687671bdebd2bf665349d09e,handle timber,storing goods and materials,687671b3ebd2bf665349a60e
10860,687671bdebd2bf665349d09f,make decisions regarding forestry management,making decisions,687671b3ebd2bf665349a5d1
10861,687671bdebd2bf665349d0a0,carry out active selling,selling products or services,687671b3ebd2bf665349a5fc
10862,687671bdebd2bf665349d0a1,advise on rehabilitation exercises,providing medical advice,687671b3ebd2bf665349a5d0
10863,687671bdebd2bf665349d0a2,document security incidents in the store,reporting incidents and defects,687671b3ebd2bf665349a4c5
10864,687671bdebd2bf665349d0a3,provide treatment strategies for challenges to human health,developing health programmes,687671b3ebd2bf665349a5f4
10865,687671bdebd2bf665349d0a4,inspect insects in whole grain,"monitoring, inspecting and testing",687671b3ebd2bf665349a516
10866,687671bdebd2bf665349d0a5,inspect mine safety conditions,monitoring safety or security,687671b3ebd2bf665349a4a7
