informal work in eng,SECTOR,SUBSECTOR
for Programmers & Content Developers,ICT and digital work,Software Design Development and Implementation Works
Foreign Organizations Support and Service,Service,Other services
Form Template,Service,Other services
Formal Education,Education,other
Formalization,Service,Other services
free and copy service,Service,Other services
free phone information,Service,Other services
free trade,Business,Wholesale business in specialized stores
freedom from inhuman treatment,Service,Other services
freedom of association,Service,Other services
fundamental principles and rights at work,Labor and Social Affairs,Labor
funding and resources,Service,Other services
Furniture for an office door,Manufacturing,Manufacture of home and office furniture
Furniture Store,Business,Home and Office Furniture Decorations & Utilities Retail
future of work,Service,Other services
Garment,Industry Development,Garment
gender equality,Labor and Social Affairs,Social Affairs
gender mainstreaming,Labor and Social Affairs,Social Affairs
gender relations,Labor and Social Affairs,Social Affairs
gender roles,Labor and Social Affairs,Social Affairs
General Service,Service,Other services
Generation specialist,Service,Other services
Geo Database,Service,Geo-Spatial / Earth Information / Service
Geography & History,Education,other
Geometric / GIS,Service,Geo-Spatial / Earth Information / Service
Geoscience Information,Service,Geo-Spatial / Earth Information / Service
GIS and Remote Sensing,Service,Geo-Spatial / Earth Information / Service
"GIS, Remote Sensing and Digital Cartography",Service,Geo-Spatial / Earth Information / Service
Glass partition yemisera balemuya,Construction,Building finishing works
Globalization,Service,Other services
Goods Information,"Logistics, transportation and communication",Other supportive transportation services
Goods Information Monitoring,"Logistics, transportation and communication",Other supportive transportation services
Goods Transit,"Logistics, transportation and communication",Freight Transportation
Google business profile,ICT and digital work,Software Design Development and Implementation Works
Google ratings expert,ICT and digital work,Software Design Development and Implementation Works
Governance,Service,Other services
GOVERNANCE AND PARTNERSHIPS,Service,Other services
Governing Body,Service,Other services
Government and Partner Recovery Projects and Plans Preparation and Implementation,Service,Other services
Government and Public Administration,Service,Other services
government development enterprises capacity building,Service,Other services
government development enterprises support and monitoring,Service,Other services
government development enterprises support and monitoring division head,Service,Other services
Government Procurement and Property Reform and Capacity Building,Service,Other services
Government-led Recovery Projects and Plans Preparation,Service,Other services
Grade Directors,Education,other
Grade Preparation and Competence Assurance,Education,other
Graduate,Education,other
Grain Crops Development and Post-Harvest,agriculture,Agriculture
Grain Crops Seed Improvement and Multiplication,agriculture,Agriculture
Grazing and Fodder Development Management,agriculture,Animal Husbandry Development
Grazing Fodder Development Management Study and Research,agriculture,Animal Husbandry Development
Grazing Land Management,agriculture,Animal Husbandry Development
Green and Environmental Protection Infrastructure Construction Support and Monitoring,Construction,Landscaping Contractor
Green and Environmental Protection Infrastructure Standardization,Service,Other services
Green Jobs,Service,Other services
Green Legacy and Degraded Land Rehabilitation,agriculture,Forest development and related services
Green Technology Identification and Study,Service,Other services
Green Technology Transfer and Dissemination,Service,Other services
Greening the ILO,Service,Other services
Grievance,Service,Other services
Growth Stage Transition,Service,Other services
guidelines,Service,Other services
Habesha hand tilf,Manufacturing,different textile materials made (excluding clothing) Manufacturing
Hacker and Embroidery Singer,Manufacturing,different textile materials made (excluding clothing) Manufacturing
Havana Printing,Manufacturing,Electronic printing
hazardous work,Labor and Social Affairs,Labor
"Head of Climate, Economic Cooperation, and UN Institutions Division",Service,Other services
"head of community, civic societies, and private sectors mainstreaming desk",Service,Other services
Head of Desk,Service,Other services
Head of Division,Service,Other services
head of european union cooperation division,Service,Other services
head of fruit development desk,agriculture,"Vegetable, Fruit Production, Seedling and Plant Seeds"
head of garment desk,Industry Development,Garment
head of government finance and international law issues division,Service,Other services
head of government finance information system department,Service,Other services
head of government finance information technology infrastructure division,ICT and digital work,Computer network design deployment and implementation tasks
head of government finance software and database division,ICT and digital work,Database organization and data processing
head of growth stage transition centers expansion desk,Service,Other services
head of incentive desk,Service,Other services
head of industrial park branch office,Service,Other services
head of innovation infrastructure desk,Service,Other services
head of institutional expansion and capacity building desk,Service,Other services
head of integrated national infrastructure boundary enforcement desk,Service,Other services
head of international maritime cooperation desk,"Logistics, transportation and communication",Domestic water transport
head of job creation ideas development desk,Service,Other services
head of justice system reform program desk,Service,Other services
head of lead institutions mainstreaming,Service,Other services
head of leather and leather products,Industry Development,Leather
Head of Lowland Research,Service,Research and experimental development activities in agriculture and animal husbandry
Head of Manufacturing Industry Expansion,Industry Development,Metal
Head of Manufacturing Industry Input,Industry Development,Metal
Head of Melkasa Palace,Service,Other services
Head of Mini-Cabinet and Commissioners' Meeting Office,Service,Other services
"Head of Multiculturalism, Inclusivity and Development Desk",Labor and Social Affairs,Social Affairs
head of qoqa palace,Service,Other services
head of regional palace,Service,Other services
head of regional palaces development and recreation coordination,Service,Other services
head of small-scale irrigation development partner support projects coordination desk,agriculture,Agriculture
head of small-scale irrigation development projects monitoring and support desk,agriculture,Agriculture
head of small-scale irrigation development technology extension and private sector participation coordination desk,agriculture,Agriculture
head of social and governance sector plan performance monitoring and evaluation desk,Service,Other services
"head of social cohesion, development and integration desk",Service,Other services
head of social science test preparation and review desk,Education,other
head of spice development desk,agriculture,Tea and other active herbs and spices used as medicinal and fragrances growing plants
Head of Sub Office/Field Office,Service,Other services
Health and Nutrition Office,Health,Health
Health Services Sector,Health,Health
High Quality Printing Service,Manufacturing,Electronic printing
High quality rendering from SOLIDWORKS assembly file,Service,Other services
Higher Education Program,Education,other
HINGO Deputy Director,Service,Other services
Home Leave,Service,Other services
Horse Care and Recreation Service,Service,Sports Services
Horse Equipment Maintenance,Service,Other unmentioned repair jobs
Horticultural,agriculture,Agriculture
Horticulture and Plant Science,agriculture,Agriculture
Hospital and Diagnostics Service,Health,Health
Hospitality and tourism,Tourism and art,Hotels and Motels
Hospitality Service,Tourism and art,Hotels and Motels
host country relations,Service,Other services
Hotel booking commission,Tourism and art,Hotels and Motels
hotel industry,Tourism and art,Hotels and Motels
hours of work,Labor and Social Affairs,Labor
household income,Service,Other services
Household Livelihood Improvement,Service,Social work services
housing development executive,Construction,Building Construction Contractor
housing development input improvement expert,Construction,Building Construction Contractor
housing development private sector participation expert,Construction,Building Construction Contractor
housing development project study expert,Construction,Building Construction Contractor
housing information,Service,Other services
housing information and administration,Service,Other services
housing information expert,Service,Other services
housing service,Service,Other services
housing standard design preparation and construction monitoring,Construction,Building Construction Contractor
housing supply and finance improvement expert,Construction,Building Construction Contractor
HPV vaccine rollout support TA,Health,Health
HR & Data Record System,Service,Accounting audit and adminstrative works
HR & OD,Service,Accounting audit and adminstrative works
HST Young Leaders Professional Development Program,Education,other
Human Capital Management,Service,Accounting audit and adminstrative works
Human Development,Service,Social work services
Human Recourse Documentation,Service,Accounting audit and adminstrative works
Human Resource,Service,Accounting audit and adminstrative works
Human Resources,Service,Accounting audit and adminstrative works
Human Resources Management,Service,Accounting audit and adminstrative works
Human Rights,Service,Social work services
Human Rights Protection,Service,Social work services
Human Security,Service,Security Service
Humanitarian Access and Safety,Service,Security Service
Humanitarian Access and Security,Service,Security Service
Humanitarian Assistance and Protection,Service,Social work services
Humanitarian Program,Service,Social work services
Humanitarian response/Voluntary Services,Service,Social work services
Human-Wildlife Conflict Management,agriculture,Agriculture
Hydroinformatics,Service,Engineering Consulting Service
Hydropolitics,Service,Consulting service around social science
Hydropolitics and Diplomacy,Service,Consulting service around social science
Hydropolitics and International Relations,Service,Consulting service around social science
ICT Infrastructure,ICT and digital work,Computer network design deployment and implementation tasks
IFB CRM,Service,Other services
IFB Officer,Service,Other services
Image and Sound Library,Service,Library and Archives Services
Implementation Agreements,Service,Other services
Import and Export,Business,Wholesale business in specialized stores
Income distribution,Service,Other services
Income generating activities,Service,Other services
Incomes policy,Service,Other services
Incubation,Service,Business Promotion Service
Indigenous and tribal peoples,Service,Social work services
Indigenous Innovation and Technology Development,Service,Industrial research and experimental development activities
indigenous organizations support and service,Service,Social work services
indigenous theatre,Tourism and art,Culture and Arts Education
industrial and building energy efficiency and conservation,Service,Engineering Consulting Service
industrial cluster and zone,Industry Development,Metal
industrial development,Industry Development,Metal
Industrial Input and Processed Product Linkage,Industry Development,Metal
industrial restructuring,Industry Development,Metal
informal economy,Service,Other services
informal employment,Labor and Social Affairs,Labor
informal enterprises,Service,Other services
informal learning,Education,other
information and communication technologies,ICT and digital work,Information Communication Technology Training Service
Information and Communications technology,ICT and digital work,Information Communication Technology Training Service
Information Communication Technology,ICT and digital work,Information Communication Technology Training Service
information management,ICT and digital work,Database organization and data processing
Information Management Technology System Development,ICT and digital work,Software Design Development and Implementation Works
Information on ride hailing business,Service,Other services
Information Operations Monitoring and Support,ICT and digital work,Information Communication Technology Training Service
Information Quality and System Security,ICT and digital work,Information Communication Technology Training Service
Information Resource and Security,ICT and digital work,Information Communication Technology Training Service
Information Resource Management,ICT and digital work,Information Communication Technology Training Service
Information Resources,ICT and digital work,Information Communication Technology Training Service
Information Resources Care and Binding,ICT and digital work,Information Communication Technology Training Service
Information Resources Security Protection and Care,ICT and digital work,Information Communication Technology Training Service
Information Service and Museum,Service,Library and Archives Services
Information Services,Service,Library and Archives Services
Information Sessions,Service,Other services
Information Technology,ICT and digital work,Information Communication Technology Training Service
Infrastructure,Economic Infrastructure,Building Construction
Infrastructure and Capacity Building Support,Service,Other services
Infrastructure and Service Institutions Rehabilitation,Construction,Building Construction Contractor
"Infrastructure, Input, and Finance Support",Service,Other services
Inland Waterways Transport,"Logistics, transportation and communication",Domestic water transport
"Innovation and Technology, Creativity and Culture Development",Service,Industrial research and experimental development activities
Innovation Business Support,Service,Business Promotion Service
Innovation Fund Mobilization,Service,Business Promotion Service
Innovation Fund Office,Service,Business Promotion Service
Innovation Infrastructure,Service,Industrial research and experimental development activities
Innovations,Service,Industrial research and experimental development activities
Insecticide Supply,Business,Wholesale of chemical and chemical products
Inspection Accreditation,Service,Inspection
Institutional Capacity Building,Service,Other services
Institutional Change,Service,Other services
Institutional Development Program,Service,Other services
Institutional Integration Implementation Capacity Building,Service,Other services
Institutional Integration Implementation Monitoring and Control,Service,Other services
Institutional Monitoring and Control Support,Service,Other services
Institutional Registration and Monitoring,Service,Other services
Institutions and Services Vulnerability Research,Service,Research and experimental development activities in agriculture and animal husbandry
INSTRUCTION TO BIDDER FOR THE AUDIT OF ACCOUNTS OF Association for Human Rights in Ethiopia AHRE,Service,Accounting audit and adminstrative works
Integrated National Infrastructure Master Plan Preparation,Service,Engineering Consulting Service
integrated resource framework,Service,Other services
"Integrated Urban Crop, Vegetable and Fruit Development",agriculture,"Vegetable, Fruit Production, Seedling and Plant Seeds"
Integrated Urban Livestock Development,agriculture,Livestock development
Integrated Urban Natural Resource Development and Protection,agriculture,Forest development and related services
Inter-Agency Cooperation,Service,Other services
Interest-Free Financial Service Organizing,Service,Finance and Administration Services
Interest-Free Financial Service Promotion,Service,Finance and Administration Services
Interfacing and microcomputing project,ICT and digital work,Software Design Development and Implementation Works
Interfacing course project,ICT and digital work,Software Design Development and Implementation Works
Intergovernmental Relations,Service,Other services
Interior Design Office,Service,Decoration works
Intermediate Technology,Service,Other services
Intern Program,Service,Employment agencies and recruitment agencies
internal migration,Service,Other services
internal services,Service,Other services
international agreements,Service,Other services
international and regional associations,Service,Other services
international borrowing,Service,Finance and Administration Services
International card holder,Service,Finance and Administration Services
international civil servants,Service,Other services
International Coffee Organization Certification and Information,Service,Product certification
International Convention and Partnership Affairs,Service,Other services
international cooperation,Service,Other services
international financial institutions,Service,Finance and Administration Services
International Financial Institutions Cooperation,Service,Finance and Administration Services
international financial institutions cooperation division head,Service,Finance and Administration Services
international health regulations and one health office head,Health,Health
international institute of labour studies,Education,other
international labour conference,Service,Other services
international labour office,Service,Other services
international labour organization,Service,Other services
international labour standards,Service,Other services
International Legal Obligations,Service,Other services
International Maritime Cooperation,"Logistics, transportation and communication",Other supportive transportation services
international migration,Service,Other services
international monetary fund,Service,Finance and Administration Services
international monetary system,Service,Finance and Administration Services
international organizations,Service,Other services
international relations,Service,Other services
international social security association,Service,Other services
international tourism promotion,Tourism and art,Travel Agent and Related Services
International Trade Unions,Service,Other services
International Training Centre,Education,other
International Travelers Health Service Division,Health,Health
InternBusiness and Economics,Education,other
"Interner, Movie and Game Center Keeper",ICT and digital work,Internet Cafe Service
Internet and movie center,ICT and digital work,Internet Cafe Service
Internet cafe and photo copy bet,ICT and digital work,Internet Cafe Service
Internet Resource Management,ICT and digital work,Database organization and data processing
Internship,Service,Employment agencies and recruitment agencies
Internship in Different Assignments in Local and International Seed Companies,Service,Employment agencies and recruitment agencies
Internship Opportunity at Management and HR Team,Service,Employment agencies and recruitment agencies
Internship Opportunity under United Nations,Service,Employment agencies and recruitment agencies
"Internship Program on Marketing, Android Development and Full Stack Web Development",Service,Employment agencies and recruitment agencies
Internship(Paid),Service,Employment agencies and recruitment agencies
Interview and documentary production of coffee farmers,Service,Media programming
Introduction to Aeronautical Engineering,Education,other
Invasive Alien Species Control,agriculture,Forest development and related services
"Invasive Weed Study, Survey, and Prevention",agriculture,Agriculture
Inventory and Distribution,"Logistics, transportation and communication",Stroage and warehousing service
Inventory and store management PLC.,"Logistics, transportation and communication",Stroage and warehousing service
Inventory Software Provider(Outright Purchase),ICT and digital work,Software Design Development and Implementation Works
investment and business licensing registration,Service,Business Promotion Service
investment options study and expansion,Service,Finance and Administration Services
investments,Service,Finance and Administration Services
Invitation for Bid Individual Consultant/company for Business Plan Development,Service,Business Promotion Service
Invitation for Bids: Development of Business Continuity Plan and Organization Manual Revision,Service,Business Promotion Service
Invitation for Consulting Services on Business Development,Service,Business Promotion Service
IPsec Configuration Using Public IP,ICT and digital work,Computer network design deployment and implementation tasks
irregular migration,Service,Other services
irrigation and farm power technology supply,Construction,Irrigation system
irrigation construction project management program office head,Construction,Irrigation system
irrigation development,Construction,Irrigation system
irrigation development and research,Construction,Irrigation system
Irrigation Engineering Study and Research,Construction,Irrigation system
Irrigation Management and Water Use,Construction,Irrigation system
Irrigation Study and Design,Construction,Irrigation system
Irrigation Technology Identification and Supply Coordination,Construction,Irrigation system
Irrigation Technology Transfer and Dissemination,Construction,Irrigation system
Irrigation Water Distribution,Construction,Irrigation system
IT or computer science,ICT and digital work,Software Design Development and Implementation Works
IT Projects,ICT and digital work,Software Design Development and Implementation Works
Java Project,ICT and digital work,Software Design Development and Implementation Works
Job Classification,Service,Employment agencies and recruitment agencies
Job Creation,Service,Employment agencies and recruitment agencies
Job Description,Service,Employment agencies and recruitment agencies
Job Management Chief Executive,Service,Employment agencies and recruitment agencies
Job opportunities for event planning and sales professionals,Service,Employment agencies and recruitment agencies
Jobless Growth,Service,Other services
Joint Advisory Appeals Board,Labor and Social Affairs,Labor
Joint Negotiating Committee,Labor and Social Affairs,Labor
Just Transition,Labor and Social Affairs,Labor
Knowledge Sharing Platform (KSP),ICT and digital work,Database organization and data processing
labor market information system,Labor and Social Affairs,Labor
Land and Land-Related Information,Economic Infrastructure,Land Administration & Management
land rights,Economic Infrastructure,Land Administration & Management
Land Supply and Utilization,Economic Infrastructure,Land Administration & Management
Land Use,Economic Infrastructure,Land Administration & Management
Language Courses,Service,Short-term language training and education
Language Study and Development,Service,Short-term language training and education
Latin America,Service,Other services
Lead,Mining and Quarrying,Mining works
Lead and Deputy Team Leader/Technical,Service,Other services
Lead Executive,Service,Other services
Leadership,Service,Other services
leadership and professional competency,Service,Other services
leadership development,Service,Other services
leadership recognition and award,Service,Other services
leather and leather product quality improvement,Industry Development,Leather
leather and leather products,Industry Development,Leather
leather industry,Industry Development,Leather
leave of absence,Labor and Social Affairs,Labor
legal issues,Service,Other services
Legitimation Card,Service,Other services
Letter of Credit,Business,Wholesale business in specialized stores
Liason Office,Service,Other services
Library and Digital Archive,Service,Library and Archives Services
Library Information Resources Collection,Service,Library and Archives Services
Library Information Resources Organization,Service,Library and Archives Services
Licensing Categories,Service,Other services
Lifelong Learning,Education,other
Linguistics,Education,other
LISEC intern,Service,Other services
Literature Professional,Education,other
livelihood and poverty analysis,Service,Research and Experimental Development Works on Economics and Development
livelihood improvement,Service,Social work services
livelihoods,Service,Social work services
living wage,Labor and Social Affairs,Labor
LME Director,Service,Other services
LME Officer,Service,Other services
Lobed Operator,Manufacturing,"Manufacture of metal products, tanks, reservoirs used for structure"
local development,Service,Other services
local economic development,Service,Other services
Local Money Transfer Management Division Manager,Business,Wholesale business in specialized stores
Local Purchase Division Head,Business,Wholesale business in specialized stores
Local Recruitment: Consultancy services- Monitoring of Forest Degradation,Service,Consulting around natural science
Logistic and Supply chain,"Logistics, transportation and communication",Other supportive transportation services
Logistics and Resource Management,"Logistics, transportation and communication",Other supportive transportation services
Logistics Income and Expenditure Document Control,"Logistics, transportation and communication",Other supportive transportation services
Logistics Information Management,"Logistics, transportation and communication",Other supportive transportation services
Logistics Operations,"Logistics, transportation and communication",Other supportive transportation services
Logistics Operators Licensing and Competency,"Logistics, transportation and communication",Other supportive transportation services
Logistics Program and Classification,"Logistics, transportation and communication",Other supportive transportation services
Long term illustration services,Service,Other services
Low Income,Labor and Social Affairs,Social Affairs
Low Wages,Labor and Social Affairs,Labor
Lowland and Pastoral Area Development Coordination,agriculture,Agriculture
Lowland and Pastoralist Areas Research,agriculture,Agriculture
Lowland Area Development,agriculture,Agriculture
LVIA Head of Programs,Service,Other services
Macroeconomic Study and Analysis,Service,Research and Experimental Development Works on Economics and Development
Made of steel,Manufacturing,Steel tube manufacturing
Maghreb Regional,Service,Other services
Maker,Manufacturing,Another unmentioned factory works
Making flowers,Manufacturing,Manufacturing of Entertainment items
Making milkshakes,Manufacturing,"Manufacture of food, beverage and tobacco processing equipment"
Making video skits,Tourism and art,Filmmaking and related work
management,Service,Other services
management development,Service,Other services
management rights,Service,Other services
management systems,Service,Other services
management teams,Service,Other services
manual,Service,Other services
manufacturing,Manufacturing,Another unmentioned factory works
Maritime Safety Survey and Security Desk Head,"Logistics, transportation and communication",Other supportive transportation services
Maritime Service Desk Head,"Logistics, transportation and communication",Other supportive transportation services
Maritime Training and Competence Desk Head,"Logistics, transportation and communication",Other supportive transportation services
Market and Factory Products Quality Assurance Desk Head,Service,Quality Management Consulting Service
Market Infrastructure and Trade Facilitation Desk Head,Business,Wholesale business in specialized stores
Market Intelligence and System Monitoring Desk Head,Business,Wholesale business in specialized stores
Market Promotion,Business,Wholesale business in specialized stores
Market Research and Business Development Desk Head,Business,Wholesale business in specialized stores
Market Research and Linkage Desk Head,Business,Wholesale business in specialized stores
Marketing and coding,Business,Wholesale business in specialized stores
Marketing and finance assistance,Business,Wholesale business in specialized stores
Marketing and Guest Reception Desk Head,Tourism and art,Hotels and Motels
Marketing and Livelihood Development Officer,Service,Social work services
Marketing and Logistics Officer,"Logistics, transportation and communication",Other supportive transportation services
Marketing and Management Instructors,Education,other
Marketing and Partnership Mgâ€™t Officer,Business,Wholesale business in specialized stores
Marketing and Promotion Desk Head,Business,Wholesale business in specialized stores
Marketing and Promotion Head,Business,Wholesale business in specialized stores
Marketing and Shareholders Relation Officer,Business,Wholesale business in specialized stores
Marketing and Tinder Officer,Business,Wholesale business in specialized stores
Marketing and Vice Manager,Business,Wholesale business in specialized stores
Marketing Desk Head,Business,Wholesale business in specialized stores
Marketing Research & Procurement Expert,Business,Wholesale business in specialized stores
Marketing Sector Lead Executive,Business,Wholesale business in specialized stores
"Marketing, Sales, and Visitor Services Lead Executive",Business,Wholesale business in specialized stores
Mass Media,Service,Media programming
Master,Education,other
Masters on business adminstration,Education,other
Material Management,Service,Logistics Supply and Support Services (outside of other business sectors)
Material Science and Emerging Technology Inspection and Law Enforcement,Service,Inspection
Material Science and Emerging Technology Notification and Licensing,Service,Other services
Material Science and Emerging Technology Regulatory Control Executive,Service,Other services
Material Testing and Quality Control Administration,Service,Laboratory test
Materials Management Division Head,Service,Logistics Supply and Support Services (outside of other business sectors)
Maternity Benefits,Labor and Social Affairs,Social Affairs
Maternity Leave,Labor and Social Affairs,Labor
Maternity Protection,Labor and Social Affairs,Social Affairs
Mathâ€™s Department Head,,
Mathematical Science Occupation,Education,other
MCH Head,Health,Health
Meat and Milk Development,agriculture,Animal Husbandry Development
Meat Animal Breed and Feed Supply,agriculture,Livestock development
Meat Resource Development and Quality Improvement,agriculture,Animal Husbandry Development
"Meat, Hide, and Skin Resource Development",agriculture,Animal Husbandry Development
"Meat, Leather, and Livestock Improvement",agriculture,Animal Husbandry Development
"Meat, Leather, and Livestock Resource Development",agriculture,Animal Husbandry Development
Medea secretary,Service,Other services
Media and Communication Center,Service,Media programming
Media and Communication Workers,Service,Media programming
Media Content Preparation,Service,Media programming
Media Hub,Service,Media programming
Media Monitoring and Analysis,Service,Media programming
Media Relations,Service,Media programming
Media speaker on psychological and psychiatry,Service,Media programming
Media Technology,Service,Media programming
Medical Care,Health,Health
Medical Device Manufacturers Law Enforcement Desk Head,Health,Health
Medical Device Microbiology Control Desk Head,Health,Health
Medical Device Safety and Post-Market Surveillance Desk Head,Health,Health
Medical Imaging Laboratory Accreditation,Health,Health
Medical Laboratory Accreditation,Health,Health
"Medical Oxygen Production, Distribution, and Monitoring Desk",Health,Health
Medical Service,Health,Health
meeting and printing service lead executive,Service,Other services
meeting minutes,Service,Other services
meeting service,Service,Other services
member states,Service,Other services
men workers,Labor and Social Affairs,Labor
men's rights,Labor and Social Affairs,Social Affairs
mental health,Health,Health
Mental Health Psycho Social Support,Health,Health
MERA Officer,Service,Other services
mergers,Service,Finance and Administration Services
Metal Works,Manufacturing,"Manufacture of metal products, tanks, reservoirs used for structure"
Metalworking Industry,Industry Development,Metal
Method Officer,Service,Other services
MF and Retail CRM,Business,Other unspecified food products retail
MHN Team Leader,Health,Health
Micro and Macro Scheduler,Service,Other services
"Micro, Small and Medium Enterprises (MSMEs) Recovery and Development",Business,Other unspecified food products retail
microenterprises,Business,Other unspecified food products retail
microfinance,Service,Finance and Administration Services
Microphone Isolation Shield Developer,Manufacturing,"Manufacture of broadcast service, radio, loudspeakers, recording and imaging equipment, dish, decoder set top box, etc"
Microsoft Excel Expert,Service,Other services
migrant workers,Labor and Social Affairs,Labor
migration policy,Labor and Social Affairs,Social Affairs
Mind mapping expert,Service,Other services
mineral product quality,Mining and Quarrying,Mining works
Mines and Auto Garage Head,Mining and Quarrying,Mining works
Mini PHP project modification,ICT and digital work,Software Design Development and Implementation Works
minimum wage,Labor and Social Affairs,Labor
mining,Mining and Quarrying,Mining works
mining capacity building expert,Mining and Quarrying,Mining works
mining development mega projects,Mining and Quarrying,Mining works
Mining Division Head,Mining and Quarrying,Mining works
mining extension,Mining and Quarrying,Mining works
mining gallery,Mining and Quarrying,Mining works
mining industry market research and liaison,Mining and Quarrying,Mining works
mining license operations administration,Mining and Quarrying,Mining works
mining marketing and artisanal operations,Mining and Quarrying,Mining works
mining marketing and product quality,Mining and Quarrying,Mining works
mining marketing operations quality assurance,Mining and Quarrying,Mining works
mining mega projects monitoring and support,Mining and Quarrying,Mining works
mining operations and processing license and administration,Mining and Quarrying,Mining works
mining operations information and promotion,Mining and Quarrying,Mining works
minority groups,Labor and Social Affairs,Social Affairs
minute sheet,Service,Other services
mission report,Service,Other services
mission travel,Service,Other services
mobile devices,ICT and digital work,Software Design Development and Implementation Works
Mobile Lead,ICT and digital work,Software Design Development and Implementation Works
models,Service,Other services
Modern Musical Instrument,Manufacturing,Manufacturing of Entertainment items
Molding and Casting,Manufacturing,"Manufacture of metal products, tanks, reservoirs used for structure"
Monitoring and Evaluation,Service,Other services
Monitoring and Evaluation Capacity Building,Service,Other services
Monitoring and Evaluation Information Management System,Service,Other services
"Monitoring and Evaluation, Knowledge Management",Service,Other services
Moodle LMS customization,ICT and digital work,Software Design Development and Implementation Works
Moroccan bath,Service,Hair and beauty care
Mother Tongue and English Language Education Development,Education,other
Motion Graphics Animator Research and Study,Service,Media programming
Motion picture,Tourism and art,Motion Picture Works
Motor Vehicle Industry,Economic Infrastructure,Automotive
Motorbike Courier Service,"Logistics, transportation and communication",Road freight service
Motorist,"Logistics, transportation and communication",Road freight service
Movable Heritage Conservation,Tourism and art,Culture and Arts Education
Movie & Playstation Center,Tourism and art,"Mobile, Theater and; Video film production and distribution"
Movie Organizer,Tourism and art,Filmmaking and related work
MPFC Officers,Service,Other services
MS4G Enterprise Growth,Business,Other unspecified food products retail
MT Software,ICT and digital work,Software Design Development and Implementation Works
Multilateral Cooperation Department,Service,Other services
Multilateral System,Service,Other services
Multilateral Trade Relations,Service,Other services
Multimedia,ICT and digital work,Software Design Development and Implementation Works
Multimedia Education Program Preparation,Education,other
Multinational Enterprises,Service,Other services
Multi-Party Employment Relationship,Labor and Social Affairs,Labor
Multisectoral and Compact Commitment Coordination,Service,Other services
Municipal Service Modernization,Economic Infrastructure,Municipality
Municipal Service Standardization and Modernization,Economic Infrastructure,Municipality
Museum and Exhibition,Tourism and art,Culture and Arts Education
Museum Desk,Tourism and art,Culture and Arts Education
Museum Development,Tourism and art,Culture and Arts Education
Museum Display,Tourism and art,Culture and Arts Education
Museum Exhibition,Tourism and art,Culture and Arts Education
Music Department,Tourism and art,Culture and Arts Education
Mystery Shopping and Evaluation Department Head,Service,Other services
Nation Building Chief Executive,Service,Other services
National - Ethiopia Civil Society Coalition for Scaling Up Nutrition (ECSC-SUN),Service,Other services
National Data Center Administration Desk,ICT and digital work,Data Center Hosting Services
National Early Warning and Response Coordination Center,Service,Other services
National Economic Accounts and Statistics,Service,Other services
National Economic Accounts Preparation,Service,Other services
National Palace Museum and Heritage Administration Center,Tourism and art,Culture and Arts Education
National Practice,Service,Other services
National Reconciliation,Service,Other services
National Technical -CoE,Education,other
Native Speaker,Education,other
Native Tigrinya Speaker,Education,other
Natural Forest,agriculture,Forest development and related services
Natural Forest Care,agriculture,Forest development and related services
Natural Forest Protection,agriculture,Forest development and related services
Natural Forest Utilization,agriculture,Forest development and related services
Natural Hot Spring Water Service,Service,Other services
Natural Pasture and Rangeland Development and Management,agriculture,Animal Husbandry Development
Natural Pasture Development and Management,agriculture,Animal Husbandry Development
Natural Resource,agriculture,Agriculture
Natural Resource Degradation Control Technology Monitoring,agriculture,Agriculture
Natural Resource Development and Conservation,agriculture,Agriculture
natural resource development and conservation team leader,agriculture,Agriculture
natural resource development teaching and learning team leader,Education,other
Navis Work Expert,"Logistics, transportation and communication",Stroage and warehousing service
network and data desk head,ICT and digital work,Computer network design deployment and implementation tasks
Network Expansion,ICT and digital work,Computer network design deployment and implementation tasks
Network Marketing with international company,Business,Wholesale business in specialized stores
Networking and Electric Line Professional,Construction,Laying of power lines
Neurology,Health,Health
New Passport Registration,Service,Other services
NextJs & Typescript Project,ICT and digital work,Software Design Development and Implementation Works
NGO license processing,Service,Other services
Night shift Administration,Service,Other services
Node js and MySQL,ICT and digital work,Software Design Development and Implementation Works
Non-Agricultural Income Generation,Service,Other services
Non-Formal and Integrated Activity-Based Adult Basic Education,Education,other
Nongovernmental Organizations,Service,Other services
Non-Motorized Transport Service Expansion,"Logistics, transportation and communication",Other supportive transportation services
Non-Standard Forms of Employment,Labor and Social Affairs,Labor
Normalized_Title,Service,Other services
NPFS Officer,Service,Other services
Nuclear Medicine,Health,Health
Nutrition Therapy Quality Monitoring,Health,Health
occupational accidents,Labor and Social Affairs,Labor
occupational classification,Labor and Social Affairs,Labor
occupational diseases,Labor and Social Affairs,Labor
occupational health services,Health,Health
Occupational Injuries,Labor and Social Affairs,Labor
Occupational Medicine,Health,Health
Occupational Qualification,Labor and Social Affairs,Labor
Occupational Safety and Health,Labor and Social Affairs,Labor
Occupational Standards and Assessment Information Management,Labor and Social Affairs,Labor
Occupational Therapy,Health,Health
Odoo ERP customization,ICT and digital work,Software Design Development and Implementation Works
OFF- FARM ENTERPRISE TECHNICAL SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,agriculture,Agriculture
Office and Classroom Organization and Supervision,Education,other
Office Equipment Officer,Service,Other services
Office Lease Management Officer,Service,Other services
Office Solutions (Furniture) Division Head,Manufacturing,Manufacture of home and office furniture
